Starting College,Ending College,Distance Between,State,Number of undergrads
"California State University, Fullerton",Arizona State University,364,California,35087
"California State University, Fullerton",Massachusetts Institute of Technology (MIT),2968,,
"California State University, Fullerton",Northwestern,2013,,
"California State University, Fullerton",Ohio State University,2231,,
"California State University, Fullerton",Saddleback College,29.3,,
"California State University, Fullerton","University of California, Irvine (UCI)",20.2,,
"California State University, Fullerton","University of California, Los Angeles (UCLA)",47.9,,
"California State University, Fullerton",University of  Michigan,2229,,
"California State University, Fullerton",University of Oregon,884,,
"California State University, Fullerton",University of the Pacific,368,,
"California State University, Fullerton",University of Texas,1758,,
"California State University, Fullerton",University of Wisconsin,1963,,
University of Texas,Arizona State University,1007,Texas,39783
University of Texas,"California State University, Fullerton",1758,,
University of Texas,Massachusetts Institute of Technology (MIT),1959,,
University of Texas,Northwestern,1311,,
University of Texas,Ohio State University,1235,,
University of Texas,Saddleback College,1378,,
University of Texas,"University of California, Irvine (UCI)",1375,,
University of Texas,"University of California, Los Angeles (UCLA)",1396,,
University of Texas,University of  Michigan,1368,,
University of Texas,University of Oregon,2073,,
University of Texas,University of the Pacific,1720,,
University of Texas,University of Wisconsin,1183,,
Arizona State University,"California State University, Fullerton",364,,
Arizona State University,University of Texas,1007,,
Massachusetts Institute of Technology (MIT),"California State University, Fullerton",2968,,
Massachusetts Institute of Technology (MIT),University of Texas,1959,,
Northwestern,"California State University, Fullerton",2013,,
Northwestern,University of Texas,1311,,
Ohio State University,"California State University, Fullerton",2231,,
Ohio State University,University of Texas,1235,,
Saddleback College,"California State University, Fullerton",29.3,,
Saddleback College,University of Texas,1378,,
"University of California, Irvine (UCI)","California State University, Fullerton",20.2,,
"University of California, Irvine (UCI)",University of Texas,1375,,
"University of California, Los Angeles (UCLA)","California State University, Fullerton",47.9,,
"University of California, Los Angeles (UCLA)",University of Texas,1396,,
University of  Michigan,"California State University, Fullerton",2229,,
University of  Michigan,University of Texas,1368,,
University of Oregon,"California State University, Fullerton",884,,
University of Oregon,University of Texas,2073,,
University of the Pacific,"California State University, Fullerton",368,,
University of the Pacific,University of Texas,1720,,
University of Wisconsin,"California State University, Fullerton",1963,,
University of Wisconsin,University of Texas,1183,,
